,MPr1,MPr2,MPr3,MPr4,MPr5,MPr6,MIn1,MIn2,MIn3,MIn4,MIn5,MIn6
DG(16:0/18:3),1.30761258,-0.03710101,0.154825319,-16.60964047,0.015436964,1.176221159,-0.112161458,2.200395098,-16.60964047,-1.272196199,1.572265607,-16.60964047
DG(16:0/20:0),-0.140976691,1.358978879,1.921819732,1.817091342,1.294541571,2.095132595,2.621724091,2.18717073,1.362332951,2.551352817,3.143756703,2.213741028
DG(16:0/20:1),1.72633268,1.675328472,2.38457979,0.064700895,1.524470095,2.202698382,1.663531346,1.06139258,0.201681521,0.035665968,2.617044973,-0.25182857
DG(16:0/20:2),1.296010297,0.377653095,2.570378493,1.52553302,0.845570033,2.027358358,1.148107109,1.644083229,-16.60964047,-0.795251986,2.720993858,1.754805286
DG(16:0/20:3),0.347966066,1.227596792,1.874152238,1.712132429,0.542007781,1.366884755,1.214203916,2.216215019,-16.60964047,1.112222793,2.408081782,1.102296374
DG(16:0/20:4),0.039480895,-16.60964047,-16.60964047,3.066423088,1.239844072,1.84246196,-16.60964047,-16.60964047,-16.60964047,2.336996518,3.80837021,-16.60964047
DG(16:0/20:5),-16.60964047,1.298530725,-16.60964047,0.73241469,-16.60964047,1.829290323,-16.60964047,-16.60964047,-16.60964047,-16.60964047,1.827111949,-16.60964047
DG(16:0/22:0),-0.671991329,0.596446747,-0.471408371,0.67646902,0.368356238,-0.010530113,0.077638835,-0.30092764,-16.60964047,0.342833814,1.72584819,0.996916076
DG(16:0/22:1),3.807474432,0.78758225,1.289217548,-16.60964047,2.186239454,1.211813843,-16.60964047,0.827901494,-16.60964047,-16.60964047,1.319367505,-16.60964047
DG(16:0/22:2),2.487259632,-16.60964047,1.139612912,0.933966827,-16.60964047,2.123140479,2.908652378,-16.60964047,-16.60964047,-16.60964047,1.20013019,-16.60964047
DG(16:0/22:4),-0.6708743,1.785733093,2.665385795,-1.272616721,0.310999625,-0.142951151,1.296389823,-16.60964047,-16.60964047,1.376767961,2.611226231,-0.520102511
DG(16:0/22:5),2.027339591,-16.60964047,-16.60964047,1.594346986,-16.60964047,3.501822123,-16.60964047,3.995595696,-16.60964047,2.032948135,4.591229349,1.58772004
DG(16:0/22:6),-16.60964047,1.974625997,1.967278277,3.018455048,1.797160339,2.843637369,2.229789489,3.000357639,-16.60964047,3.338120317,4.286660525,3.230208872
DG(16:1/16:1),-16.60964047,2.908188963,2.293446105,2.246805971,-16.60964047,1.801101989,-16.60964047,-16.60964047,-16.60964047,1.828262678,-16.60964047,-16.60964047
DG(16:1/18:0),-16.60964047,1.592756973,1.215850394,1.129683254,-16.60964047,1.703939948,-16.60964047,0.914426241,-16.60964047,0.82439416,1.370239852,1.364749984
DG(16:1/18:1),3.011737848,3.490781712,4.416299372,4.339780725,2.428874255,3.570795601,2.341135079,-16.60964047,-16.60964047,2.548224518,2.117621371,2.464144821
DG(16:1/18:2),0.477855862,1.838952397,1.714063292,1.167755285,-16.60964047,1.012277755,0.302093358,0.668413204,-0.257414876,1.527977219,0.999731638,0.742165485
